path,name,start_time,end_time,n_times,variables
wind\1.nc,1.nc,1989-07-01,1989-12-31 23:00:00,4416,"uwnd,vwnd"
wind\2.nc,2.nc,1990-01-01,1990-12-31 23:00:00,8760,"uwnd,vwnd"
wind\3.nc,3.nc,1991-01-01,1991-12-31 23:00:00,8760,"uwnd,vwnd"
wind\4.nc,4.nc,1992-01-01,1992-12-31 23:00:00,8784,"uwnd,vwnd"
wind\5.nc,5.nc,1993-01-01,1993-12-31 23:00:00,8760,"uwnd,vwnd"
wind\6.nc,6.nc,1994-01-01,1994-12-31 23:00:00,8760,"uwnd,vwnd"
wind\7.nc,7.nc,1995-01-01,1995-12-31 23:00:00,8760,"uwnd,vwnd"
wind\8.nc,8.nc,1996-01-01,1996-12-31 23:00:00,8784,"uwnd,vwnd"
wind\9.nc,9.nc,1997-01-01,1997-12-31 23:00:00,8760,"uwnd,vwnd"
wind\10.nc,10.nc,1998-01-01,1998-12-31 23:00:00,8760,"uwnd,vwnd"
wind\11.nc,11.nc,1999-01-01,1999-11-30 23:00:00,8016,"uwnd,vwnd"
wind\12.nc,12.nc,1999-12-01,1999-12-28 23:00:00,672,"uwnd,vwnd"
wind\13.nc,13.nc,1999-12-29,1999-12-29 04:00:00,5,"uwnd,vwnd"
